longitude	latitude	pollinator
-117.0338953	35.00328839	synthetica
-117.033062	35.00732173	synthetica
-117.034662	35.00398839	synthetica
-117.4933671	36.61897409	synthetica
-117.497844	36.62475205	synthetica
-117.5578588	36.83385304	synthetica
-116.8667389	34.44376301	synthetica
-116.8754679	34.44385101	synthetica
-116.8667389	34.44376301	synthetica
-116.8715099	34.44384201	synthetica
-117.0255453	34.99540506	synthetica
-117.027462	34.99680506	synthetica
-117.030862	35.00968839	synthetica
-117.028862	35.01133839	synthetica
-117.4883247	36.61739922	synthetica
-116.8579179	34.44367501	synthetica
-116.8623429	34.44376501	synthetica
-116.8638779	34.44377701	synthetica
-117.464517	36.61012921	synthetica
-117.4709393	36.6199483	synthetica
-117.5054622	36.73078855	synthetica
-116.8430209	34.44041901	synthetica
-116.8455389	34.44098501	synthetica
-116.8468429	34.44127801	synthetica
-116.8500769	34.44195101	synthetica
-116.8316769	34.43807001	synthetica
-116.8324949	34.43823501	synthetica
-116.8403049	34.43980901	synthetica
-116.8345149	34.43864201	synthetica
-116.8401149	34.43977101	synthetica
-116.8229129	34.43621501	synthetica
-116.8202849	34.43564101	synthetica
-116.8275299	34.43722301	synthetica
-116.8267009	34.43703901	synthetica
-116.8261049	34.43690901	synthetica
-117.5019623	36.85985524	synthetica
-117.5026456	36.85977191	synthetica
-117.502329	36.85985524	synthetica
-117.5020456	36.85993857	synthetica
-116.8113849	34.43360401	synthetica
-116.8057989	34.43225201	synthetica
-116.8146409	34.43440701	synthetica
-117.501779	36.85992191	synthetica
-117.5016456	36.85997191	synthetica
-117.5014956	36.86000524	synthetica
-117.501329	36.86008857	synthetica
-117.5011456	36.86018857	synthetica
-117.501029	36.86023857	synthetica
-117.5010116	36.87840369	synthetica
-117.5015161	36.89720581	synthetica
-116.7961799	34.42950201	synthetica
-116.7940809	34.42880401	synthetica
-116.8020549	34.43121701	synthetica
-116.8049199	34.43207401	synthetica
-116.8069286	34.47615501	synthetica
-116.8070452	34.47652168	synthetica
-116.8072619	34.47675501	synthetica
-116.8073119	34.47675501	synthetica
-116.8074619	34.47690501	synthetica
-116.8077119	34.47720501	synthetica
-116.8077119	34.47723834	synthetica
-116.8076452	34.47743834	synthetica
-116.8077952	34.47758834	synthetica
-116.8078452	34.47763834	synthetica
-116.7815469	34.42553399	synthetica
-116.7883849	34.42732501	synthetica
-117.3532721	36.45165597	synthetica
-116.7697299	34.42253801	synthetica
-116.7710789	34.42287101	synthetica
