xUTM,yUTM,Forest,Bird,Zones
1663511.589,12108202.87,2520,0.268262222,2
1323511.589,11868202.87,2530,0.039220713,2
1263511.589,11938202.87,2531,0.042197049,2
1303511.589,11958202.87,2533,0.066695568,2
1443511.589,11988202.87,2538,0.056087285,2
1263511.589,11958202.87,2541,0.137202147,2
1303511.589,12088202.87,2549,0.760287003,2
1323511.589,11928202.87,2552,0.101780114,2
1383511.589,11948202.87,2558,0.336472237,2
1243511.589,11988202.87,2561,0,2
1413511.589,12038202.87,2561,0.369748116,2
1753511.589,12148202.87,2564,0.148420005,2
1363511.589,11838202.87,2566,0.138151951,2
1093511.589,12188202.87,2567,0.3074847,2
1313511.589,11968202.87,2569,0.064541646,2
1313511.589,11798202.87,2572,0.060624622,2
1213511.589,11918202.87,2577,0.060624622,2
1553511.589,12148202.87,2590,0.223143551,2
1213511.589,11938202.87,2594,0.230524247,2
1293511.589,11808202.87,2605,0.2411642,2
1193511.589,11788202.87,2615,0.174356587,2
1283511.589,12198202.87,2618,0.810930216,2
1433511.589,11948202.87,2619,0.28256651,2
1503511.589,11988202.87,2621,0.082234151,2
1403511.589,11998202.87,2621,0.405465108,2
1413511.589,11828202.87,2623,0.039220713,2
1323511.589,11888202.87,2627,0.113328685,2
1463511.589,11958202.87,2636,0.061875604,2
1133511.589,11778202.87,2650,0,2
1653511.589,12018202.87,2656,0.229570852,2
1613511.589,12118202.87,2678,0.143026174,2
1563511.589,11968202.87,2679,0.076961041,2
1333511.589,11928202.87,2680,0.08701221,2
1463511.589,11998202.87,2682,0,2
1503511.589,11978202.87,2692,0.068994205,2
1583511.589,11998202.87,2692,0.120632306,2
1543511.589,11968202.87,2693,0,2
1633511.589,12008202.87,2694,0.15082229,2
1643511.589,12008202.87,2695,0.162518429,2
1703511.589,12128202.87,2706,0.09531018,2
1603511.589,12008202.87,2706,0.160340057,2
1743511.589,12138202.87,2723,0.148420005,2
1323511.589,11918202.87,2726,0.037738847,2
1493511.589,11998202.87,2727,0.148420005,2
1393511.589,11968202.87,2731,0.154153537,2
1403511.589,11978202.87,2732,0.071455171,2
1423511.589,11978202.87,2743,0.062523993,2
1183511.589,11848202.87,2746,0,2
1593511.589,12008202.87,2746,0.114408459,2
1583511.589,12008202.87,2758,0.154153537,2
1593511.589,11998202.87,2765,0.097634749,2
1233511.589,12238202.87,2771,0.753771802,2
1523511.589,11978202.87,2776,0.138151951,2
1273511.589,11798202.87,2778,0.130054104,2
1563511.589,11998202.87,2781,0.09531018,2
1433511.589,12008202.87,2806,0.133533893,2
1303511.589,12128202.87,2807,0.351396035,2
1143511.589,12188202.87,2817,0.336472237,2
1283511.589,12208202.87,2820,0.518793793,2
1333511.589,11938202.87,2837,0.171850257,2
1543511.589,11988202.87,2848,0.105359516,2
1453511.589,11948202.87,2849,0.028169488,2
1293511.589,11798202.87,2849,0.323401471,2
1223511.589,12018202.87,2861,0.424332658,2
1333511.589,12038202.87,2863,0.324724935,2
1263511.589,11948202.87,2879,0.139761942,2
1313511.589,12078202.87,2882,0.737599378,2
1563511.589,12148202.87,2883,0.278714484,2
1453511.589,11988202.87,2885,0.234842847,2
1283511.589,11808202.87,2894,0.031750573,2
1693511.589,12078202.87,2896,0.182321557,2
1433511.589,11998202.87,2898,0.058844214,2
1323511.589,11908202.87,2903,0,2
1293511.589,11938202.87,2904,0.022475523,2
1553511.589,11988202.87,2914,0.082234151,2
1413511.589,11968202.87,2924,0.126755991,2
1503511.589,12198202.87,2925,0.268262222,2
1403511.589,11968202.87,2940,0.074105115,2
1273511.589,12148202.87,2945,0.444685821,2
1623511.589,12048202.87,2948,0.266632068,2
1363511.589,11998202.87,2952,0.076961041,2
1613511.589,12128202.87,2952,0.105359516,2
1553511.589,11968202.87,2962,0.032786597,2
1713511.589,12138202.87,2965,0.167055623,2
1533511.589,11968202.87,2971,0,2
1293511.589,11788202.87,2980,0.027401136,2
1213511.589,12168202.87,2993,0.625708458,2
1563511.589,11978202.87,2997,0.20763999,2
1643511.589,12068202.87,3002,0.175892602,3
1683511.589,12128202.87,3004,0.21511138,3
1323511.589,11898202.87,3008,0.259514053,3
1403511.589,12008202.87,3012,0.044447415,3
