species,fb,wall,orn,shape,volume,genus,family,order,class,phylum
Ascocoryne.cylichnium,Discoid,Thick,No,3.826086957,571.2789891,Ascocoryne,Helotiaceae,Helotiales,Leotiomycetes,Ascomycota
Ascocoryne.sarcoides,Discoid,Thick,No,3.333333333,238.5646921,Ascocoryne,Helotiaceae,Helotiales,Leotiomycetes,Ascomycota
Asterodon.ferruginosus,Resupinate,Thick,No,1.5,75.39822369,Asterodon,Hymenochaetaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Asterostroma.laxum,Resupinate,Thin,Yes,1,269.39157,Asterostroma,Lachnocladiaceae,Russulales,Agaricomycetes,Basidiomycota
Athelia.acrospora,Resupinate,Thin,No,2.272727273,37.12233507,Athelia,Atheliaceae,Atheliales,Agaricomycetes,Basidiomycota
Athelia.decipiens,Resupinate,Thin,No,1.461538462,39.40489848,Athelia,Atheliaceae,Atheliales,Agaricomycetes,Basidiomycota
Athelia.epiphylla.coll,Resupinate,Thin,No,1.956521739,292.1313012,Athelia,Atheliaceae,Atheliales,Agaricomycetes,Basidiomycota
Athelia.neuhoffii,Resupinate,Thin,No,1.473684211,124.0438224,Athelia,Atheliaceae,Atheliales,Agaricomycetes,Basidiomycota
Athelopsis.glaucina,Resupinate,Thin,No,4.222222222,37.77274292,Athelopsis,Atheliaceae,Atheliales,Agaricomycetes,Basidiomycota
Athelopsis.subinconspicua,Resupinate,Thin,No,1.647058824,99.30378028,Athelopsis,Atheliaceae,Atheliales,Agaricomycetes,Basidiomycota
Auricularia.auricula.judae,Discoid,Thin,No,2.631578947,221.5068258,Auricularia,Auriculariaceae,Auriculariales,Agaricomycetes,Basidiomycota
Basidiodendron.caesiocinereum,Resupinate,Thick,Yes,0.941176471,453.9601384,Basidiodendron,Auriculariaceae,Auriculariales,Agaricomycetes,Basidiomycota
Basidiodendron.cinereum,Resupinate,Thick,No,1.357142857,365.6028451,Basidiodendron,Auriculariaceae,Auriculariales,Agaricomycetes,Basidiomycota
Basidioradulum.crustosum,Resupinate,Thin,No,2,32.66765486,Basidioradulum,Schizoporaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Bertia.moriformis,Pyrenoid,Thin,No,6.956521739,1038.689071,Bertia,Bertiaceae,Coronophorales,Sordariomycetes,Ascomycota
Bisporella.citrina,Discoid,Thin,No,3.03030303,85.52985999,Bisporella,Helotiaceae,Helotiales,Leotiomycetes,Ascomycota
Bjerkandera.adusta,Pileate,Thin,No,1.727272727,28.21297465,Bjerkandera,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota
Boidinia.furfuracea,Resupinate,Thin,Yes,1,98.17477042,Boidinia,Russulaceae,Russulales,Agaricomycetes,Basidiomycota
Bolbitius.reticulatus,Gilled,Thin,No,2,168.3451876,Bolbitius,Bolbitiaceae,Agaricales,Agaricomycetes,Basidiomycota
Boliniaceae.sp1.,Pyrenoid,Thick,No,2.501501502,72.54765011,Boliniaceae,Boliniaceae,Boliniales,Sordariomycetes,Ascomycota
Botryobasidium.botryosum,Resupinate,Thin,No,2.4,99.40195505,Botryobasidium,Botryobasidiaceae,Cantharellales,Agaricomycetes,Basidiomycota
Botryobasidium.conspersum,Resupinate,Thin,No,2.909090909,47.51658889,Botryobasidium,Botryobasidiaceae,Cantharellales,Agaricomycetes,Basidiomycota
Botryobasidium.intertextum,Resupinate,Thin,No,4.125,25.91813939,Botryobasidium,Botryobasidiaceae,Cantharellales,Agaricomycetes,Basidiomycota
Botryobasidium.laeve,Resupinate,Thin,Yes,2,53.92249266,Botryobasidium,Botryobasidiaceae,Cantharellales,Agaricomycetes,Basidiomycota
Botryobasidium.medium,Resupinate,Thin,No,1.909090909,249.4620916,Botryobasidium,Botryobasidiaceae,Cantharellales,Agaricomycetes,Basidiomycota
Botryobasidium.obtusisporum,Resupinate,Thin,No,2.105263158,177.2054606,Botryobasidium,Botryobasidiaceae,Cantharellales,Agaricomycetes,Basidiomycota
Botryobasidium.subcoronatum,Resupinate,Thin,No,2.454545455,40.09212187,Botryobasidium,Botryobasidiaceae,Cantharellales,Agaricomycetes,Basidiomycota
Botryohypochnus.isabellinus,Resupinate,Thin,Yes,1,482.3326471,Botryohypochnus,Botryobasidiaceae,Cantharellales,Agaricomycetes,Basidiomycota
Butyrea.luteoalbum,Resupinate,Thin,No,2.555555556,11.70557423,Butyrea,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota
Byssomerulius.corium,Pileate,Thin,No,2,42.41150082,Byssomerulius,Phanerochaetaceae,Polyporales,Agaricomycetes,Basidiomycota
Byssoporia.terrestris,Resupinate,Thick,No,1.285714286,43.29507376,Byssoporia,Atheliaceae,Atheliales,Agaricomycetes,Basidiomycota
Cabalodontia.bresadolae,Resupinate,Thin,No,2.076923077,55.99643468,Cabalodontia,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota
Cabalodontia.cretacea,Resupinate,Thin,No,4.285714286,18.03961407,Cabalodontia,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota
Cabalodontia.subcretacea,Resupinate,Thin,No,4.333333333,11.48644814,Cabalodontia,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota
Calocera.cornea,Branched,Thin,No,2.615384615,70.51402886,Calocera,Dacrymycetaceae,Dacrymycetales,Dacrymycetes,Basidiomycota
Calocera.furcata,Branched,Thin,No,3,101.0218388,Calocera,Dacrymycetaceae,Dacrymycetales,Dacrymycetes,Basidiomycota
Calocera.viscosa,Branched,Thin,No,2.25,113.0973355,Calocera,Dacrymycetaceae,Dacrymycetales,Dacrymycetes,Basidiomycota
Calycellina.guttulifera,Discoid,Thin,No,2.941176471,11.34900346,Calycellina,Hyaloscyphaceae,Helotiales,Leotiomycetes,Ascomycota
Calycellina.ochracea,Discoid,Thin,No,4.461538462,120.2886375,Calycellina,Hyaloscyphaceae,Helotiales,Leotiomycetes,Ascomycota
Calycellina.sp1.,Discoid,Thin,No,4.083333333,5.541769441,Calycellina,Hyaloscyphaceae,Helotiales,Leotiomycetes,Ascomycota
Calyptella.sp1.,Discoid,Thick,No,2.235294118,134.7694161,Calyptella,Marasmiaceae,Agaricales,Agaricomycetes,Basidiomycota
Camarops.lutea.pugillus.complex,Stromatoid,Thin,No,1.857142857,62.53732876,Camarops,Boliniaceae,Boliniales,Sordariomycetes,Ascomycota
Camarops.tubulina,Stromatoid,Thin,No,1.857142857,62.53732876,Camarops,Boliniaceae,Boliniales,Sordariomycetes,Ascomycota
